Description, Price ,Date
Active," $799,900 ",2/27/2019
Unknown," $629,900 ",9/24/2014
Unknown," $629,900 ",9/12/2014
Sold," $625,900 ",9/8/2014
Unknown," $629,900 ",8/10/2014
Active," $629,900 ",7/27/2014
Pending," $629,900 ",7/25/2014
Pending," $629,900 ",7/24/2014
Unknown," $629,900 ",7/20/2014
Active," $629,900 ",7/16/2014
Active," $629,900 ",7/15/2014
Taking Backup Offers," $629,900 ",7/11/2014
Active," $629,900 ",6/28/2014
Active," $629,900 ",6/27/2014
Taking Backup Offers," $629,900 ",6/27/2014
Active," $629,900 ",6/23/2014
Active," $629,900 ",6/11/2014
Active," $629,900 ",6/10/2014
Sold," $570,000 ",1/22/2010
Sold," $288,000 ",9/1/2000
